"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","AVG_SCORE_Z","MEDIAN_SCORE","STDEV_SCORE","PROVINCE_AVG","PROVINCE_SD","pm25","burned_ha","fire_count"
23,"Central Okanagan",2020,"07","1276",304.6494,-0.0548351896314562,385,223.5066,318.5741,253.9373,6.58173656463623,2187,12
23,"Central Okanagan",2021,"04","1345",479.1913,-0.0995471333997337,478.3028,97.4213,490.3953,112.5497,14.0080027580261,96266,33
23,"Central Okanagan",2021,"07","1473",425.2182,-0.413269123347495,432.9135,110.3477,474.0476,118.154,14.0080027580261,96266,33
23,"Central Okanagan",2022,"04","1510",476.4939,-0.0258827844726554,475.8366,93.995,479.387,111.777,5.74871883392334,6519,14
23,"Central Okanagan",2022,"07","1478",416.3554,-0.45240957139174,415.1827,99.6507,468.296,114.8088,5.74871883392334,6519,14
23,"Central Okanagan",2023,"04","1508",469.0367,-0.0736027246325859,471.8844,96.6761,477.3267,112.6317,13.8244333267212,24385,24
23,"Central Okanagan",2023,"07","1465",419.2567,-0.352176099635772,419.2212,102.6548,460.2924,116.5204,13.8244333267212,24385,24
23,"Central Okanagan",2024,"04","1783",476.1735,-0.0332624063019422,479.0753,88.9733,479.7736,108.2333,7.09426536560059,2165,18
23,"Central Okanagan",2024,"07","1661",424.8076,-0.39940047823021,418.8598,94.5442,469.7227,112.4563,7.09426536560059,2165,18
27,"Cariboo-Chilcotin",2017,"04","323",399.3207,0.13138650446352,412,129.0022,369.7585,225.0018,24.699343919754,921725,71
27,"Cariboo-Chilcotin",2017,"07","310",385.1015,0.0867434423184466,404,140.4909,365.4176,226.9209,24.699343919754,921725,71
27,"Cariboo-Chilcotin",2018,"04","336",405.9368,0.19335196293387,431,151.377,361.6057,229.2767,21.8169348716736,304191,110
27,"Cariboo-Chilcotin",2018,"07","334",390.9496,0.148116263888841,409,134.8234,356.6422,231.6248,21.8169348716736,304191,110
