"SCHOOL_DISTRICT_NUMBER","year","month","SCHOOL_DISTRICT_NAME","burned_ha_50km","fire_count_50km"
27,2023,7,"Cariboo-Chilcotin",179574,71
27,2023,8,"Cariboo-Chilcotin",18501,16
27,2023,9,"Cariboo-Chilcotin",216,4
27,2024,5,"Cariboo-Chilcotin",342,5
27,2024,6,"Cariboo-Chilcotin",14,2
27,2024,7,"Cariboo-Chilcotin",66790,66
27,2024,8,"Cariboo-Chilcotin",1386,15
27,2024,9,"Cariboo-Chilcotin",0,0
28,2017,5,"Quesnel",161,3
28,2017,6,"Quesnel",1,2
28,2017,7,"Quesnel",700744,53
28,2017,8,"Quesnel",588,5
28,2017,9,"Quesnel",0,0
28,2018,5,"Quesnel",0,0
28,2018,6,"Quesnel",2340,8
28,2018,7,"Quesnel",161359,32
28,2018,8,"Quesnel",47620,20
28,2018,9,"Quesnel",26,3
28,2019,5,"Quesnel",85,3
28,2019,6,"Quesnel",9,2
28,2019,7,"Quesnel",0,0
28,2019,8,"Quesnel",1,1
28,2019,9,"Quesnel",0,0
28,2020,5,"Quesnel",7,1
28,2020,6,"Quesnel",0,0
28,2020,7,"Quesnel",0,0
28,2020,8,"Quesnel",0,0
28,2020,9,"Quesnel",0,0
28,2021,5,"Quesnel",238,1
28,2021,6,"Quesnel",30533,6
28,2021,7,"Quesnel",36054,30
28,2021,8,"Quesnel",325,12
28,2021,9,"Quesnel",0,0
28,2022,5,"Quesnel",10,2
28,2022,6,"Quesnel",2,1
28,2022,7,"Quesnel",0,0
28,2022,8,"Quesnel",35,8
28,2022,9,"Quesnel",2,2
28,2023,5,"Quesnel",2368,12
28,2023,6,"Quesnel",29,2
28,2023,7,"Quesnel",163353,68
28,2023,8,"Quesnel",1126,4
28,2023,9,"Quesnel",27,3
28,2024,5,"Quesnel",374,5
28,2024,6,"Quesnel",0,1
28,2024,7,"Quesnel",50238,45
28,2024,8,"Quesnel",534,7
28,2024,9,"Quesnel",0,0
33,2017,5,"Chilliwack",0,0
33,2017,6,"Chilliwack",0,0
33,2017,7,"Chilliwack",184,3
33,2017,8,"Chilliwack",0,0
33,2017,9,"Chilliwack",1,1
33,2018,5,"Chilliwack",0,0
33,2018,6,"Chilliwack",19,2
33,2018,7,"Chilliwack",2,1
33,2018,8,"Chilliwack",6186,3
33,2018,9,"Chilliwack",0,0
33,2019,5,"Chilliwack",0,0
33,2019,6,"Chilliwack",0,0
33,2019,7,"Chilliwack",0,0
33,2019,8,"Chilliwack",0,0
33,2019,9,"Chilliwack",5,1
