"SCHOOL_DISTRICT_NUMBER","SCHOOL_DISTRICT_NAME","year","GRADE","NUMBER_WRITERS","AVG_SCORE","MEDIAN_SCORE","STDEV_SCORE","pm25","burned_ha_75km","fire_count_75km","AVG_SCORE_Z"
58,"Nicola-Similkameen",2019,"04","134",446.55,467,135.0568,3.71680927276611,3651,22,0.34069059666189
59,"Peace River South",2019,"04","255",444.3722,452.5,137.5065,6.63809552192688,331,6,0.331394021044292
60,"Peace River North",2019,"04","439",414.8542,442,166.2536,7.04558081626892,1050,15,0.205387813366698
61,"Greater Victoria",2019,"04","884",280.3772,381,253.5648,4.08874564170837,3,1,-0.368666553116795
62,"Sooke",2019,"04","312",167.304,0,231.9923,3.4563768863678,22,3,-0.851352545459435
63,"Saanich",2019,"04","383",368.6069,450.5,221.0322,3.85704131126404,3,1,0.00796770061082136
64,"Gulf Islands",2019,"04","122",471.7273,513,165.2537,4.03773159980774,20,4,0.448167258107824
67,"Okanagan Skaha",2019,"04","373",437.3674,471,166.5278,4.15499591827393,3366,14,0.301491985556115
68,"Nanaimo-Ladysmith",2019,"04","828",335.2151,411,215.9982,3.56175084114075,49,9,-0.134574954227876
69,"Qualicum",2019,"04","250",415.4806,451,177.2683,3.52609553337097,48,9,0.208061784790549
70,"Pacific Rim",2019,"04","280",435.5,441,162.8258,3.37996120452881,61,9,0.293520443032328
71,"Comox Valley",2019,"04","550",356.5944,430,210.0179,3.31703343391418,82,10,-0.0433111654955236
72,"Campbell River",2019,"04","365",406.0347,442,158.5033,2.86876411437988,72,12,0.167739200702814
73,"Kamloops-Thompson",2019,"04","1046",439.9571,461.5,145.9517,4.26193056106567,405,23,0.312546876674167
74,"Gold Trail",2019,"04","93",393.8526,386,110.1096,3.53583498001099,322,21,0.115736347442118
75,"Mission",2019,"04","390",340.3676,410,215.9798,5.2213719367981,21,4,-0.112580002501512
78,"Fraser-Cascade",2019,"04","80",318.4228,429,247.5414,4.67412056922913,60,13,-0.20625779321373
79,"Cowichan Valley",2019,"04","330",219.5893,214,223.7081,3.42672433853149,49,9,-0.628157465498554
81,"Fort Nelson",2019,"04","45",532.24,581.5,186.1472,7.0843638420105,7627,19,0.706483398880637
82,"Coast Mountains",2019,"04","219",362.0221,413,203.3553,4.30035929679871,510,12,-0.0201414421602137
83,"K̓wsaltktnéws ne Secwepemcúl’ecw",2019,"04","474",398.2224,440,170.2124,4.42969074249268,35,7,0.134390115526323
84,"Vancouver Island West",2019,"04","31",378.4,399,170.325,3.43424263000488,43,5,0.0497724093447274
85,"Vancouver Island North",2019,"04","86",435.2396,469.5,186.7566,3.28493962287903,54,7,0.2924088495477
87,"Stikine",2019,"04","11",293.2667,341,203.6069,6.63691244125366,8996,15,-0.31364395626537
