"year","DISTRICT_NUMBER","DISTRICT_NAME","SUB_POPULATION","GRADE","FSA_SKILL_CODE","NUMBER_WRITERS","AVG_SCORE","MEDIAN_SCORE","STDEV_SCORE"
2019,20,"Kootenay-Columbia","All Students","07","Numeracy","136",200.5947,0,230.6027
2019,22,"Vernon","All Students","07","Numeracy","590",419.6262,448,163.444
2019,23,"Central Okanagan","All Students","07","Numeracy","1164",288.6106,374,227.8355
2019,27,"Cariboo-Chilcotin","All Students","07","Numeracy","366",384.264,395,144.6466
2019,28,"Quesnel","All Students","07","Numeracy","87",138.3592,0,195.4161
2019,33,"Chilliwack","All Students","07","Numeracy","933",389.1696,425,176.522
2019,34,"Abbotsford","All Students","07","Numeracy","1386",434.7475,454,143.2376
2019,35,"Langley","All Students","07","Numeracy","1386",398.9739,439,187.3846
2019,36,"Surrey","All Students","07","Numeracy","3396",281.6229,363,250.8375
2019,37,"Delta","All Students","07","Numeracy","755",295.1256,384,244.3181
2019,38,"Richmond","All Students","07","Numeracy","937",318.3089,429.5,273.8831
2019,39,"Vancouver","All Students","07","Numeracy","2125",296.2631,384,271.87
2019,40,"New Westminster","All Students","07","Numeracy","431",415.818,462,190.6967
2019,41,"Burnaby","All Students","07","Numeracy","1173",327.2633,425,265.4039
2019,42,"Maple Ridge-Pitt Meadows","All Students","07","Numeracy","277",111.2736,0,199.6877
2019,43,"Coquitlam","All Students","07","Numeracy","1980",375.7765,441,217.711
2019,44,"North Vancouver","All Students","07","Numeracy","1158",480.7117,508,148.005
2019,45,"West Vancouver","All Students","07","Numeracy","497",544.2748,585,174.3579
2019,46,"Sunshine Coast","All Students","07","Numeracy","186",369.5309,438,223.3635
2019,47,"qathet","All Students","07","Numeracy","114",344.962,428.5,232.5173
2019,48,"Sea to Sky","All Students","07","Numeracy","296",389.3121,433,182.302
2019,49,"Central Coast","All Students","07","Numeracy","Msk",NA,NA,NA
2019,50,"Haida Gwaii","All Students","07","Numeracy","32",359.25,392,165.2113
2019,51,"Boundary","All Students","07","Numeracy","102",419.9369,452,148.2912
2019,52,"Prince Rupert","All Students","07","Numeracy","131",375.4414,406,150.5392
2019,53,"Okanagan Similkameen","All Students","07","Numeracy","172",434.5222,443,135.0792
2019,54,"Bulkley Valley","All Students","07","Numeracy","124",436.8258,432.5,157.6946
2019,57,"Prince George","All Students","07","Numeracy","937",402.6956,419,141.9022
2019,58,"Nicola-Similkameen","All Students","07","Numeracy","153",419.4198,438,137.2277
2019,59,"Peace River South","All Students","07","Numeracy","274",413.2509,419,130.2747
2019,60,"Peace River North","All Students","07","Numeracy","450",403.014,425,165.5048
2019,61,"Greater Victoria","All Students","07","Numeracy","755",246.6853,287,241.4422
2019,62,"Sooke","All Students","07","Numeracy","251",131.2373,0,203.5083
2019,63,"Saanich","All Students","07","Numeracy","300",264.0038,342,243.476
2019,64,"Gulf Islands","All Students","07","Numeracy","124",443.197,467.5,143.0449
