"SCHOOL_DISTRICT_NAME","SCHOOL_DISTRICT_NUMBER","year","month","pm25_mean"
"Mission",75,2017,8,7.76809597015381
"Fraser-Cascade",78,2017,8,15.1571474075317
"Cowichan",79,2017,8,10.2993011474609
"Kootenay Lake",8,2017,8,21.7327632904053
"Fort Nelson",81,2017,8,3.82739901542664
"Coast Mountains",82,2017,8,6.00649738311768
"Okanagan-Shuswap",83,2017,8,28.1464023590088
"Vancouver Island West",84,2017,8,10.1048030853271
"Vancouver Island North",85,2017,8,17.6864109039307
"Stikine",87,2017,8,3.63323736190796
"Nechako Lakes",91,2017,8,9.72740650177002
"Nisgaa",92,2017,8,2.77819848060608
"Central Coast",49,2017,8,18.7507667541504
"Okanagan-Skaha",67,2017,8,25.2409706115723
"Okanagan-Similkameen",53,2017,8,43.7931442260742
"Arrow Lakes",10,2017,9,14.8603286743164
"Revelstoke",19,2017,9,12.5946178436279
"Kootenay-Columbia",20,2017,9,21.6258449554443
"Vernon",22,2017,9,16.2928352355957
"Central Okanagan",23,2017,9,17.6826763153076
"Cariboo-Chilcotin",27,2017,9,9.98895072937012
"Quesnel",28,2017,9,11.188157081604
"Chilliwack",33,2017,9,9.57297229766846
"Abbotsford",34,2017,9,10.0304393768311
"Langley",35,2017,9,10.8534240722656
"Surrey",36,2017,9,11.0624408721924
"Delta",37,2017,9,13.3523378372192
"Richmond",38,2017,9,11.3193454742432
"Vancouver",39,2017,9,9.17077732086182
"New Westminster",40,2017,9,6.39540433883667
"Burnaby",41,2017,9,5.50809955596924
"Maple-Ridge Pitt-Meadows",42,2017,9,7.99750232696533
"Coquitlam",43,2017,9,8.48560905456543
"North Vancouver",44,2017,9,8.09662628173828
"West Vancouver",45,2017,9,8.16354560852051
"Sunshine Coast",46,2017,9,8.73951625823975
"Powell RIver",47,2017,9,7.57643604278564
"Sea to Sky",48,2017,9,7.46967172622681
"South East Kootenay",5,2017,9,39.4373168945312
"Haida Gwaii",50,2017,9,3.29336380958557
"Boundary",51,2017,9,22.5275611877441
"Prince Rupert",52,2017,9,3.6354033946991
"Bulkley Valley",54,2017,9,3.83156871795654
"Prince George",57,2017,9,8.41013240814209
"Nicola-Similkameen",58,2017,9,24.9960479736328
"Peace River South",59,2017,9,5.69576025009155
"Rocky Mountain",6,2017,9,20.7986621856689
"Peace River North",60,2017,9,5.18417835235596
"Victoria",61,2017,9,12.7009134292603
"Sooke",62,2017,9,5.89218854904175
"Saanich",63,2017,9,8.977952003479
"Gulf Islands",64,2017,9,8.87590217590332
"Nanaimo-Ladysmith",68,2017,9,7.48626232147217
"Qualicum",69,2017,9,7.35676002502441
"Pacific Rim",70,2017,9,4.6336612701416
"Comox Valley",71,2017,9,6.09873628616333
"Campbell River",72,2017,9,5.8199520111084
"Kamloops-Thompson",73,2017,9,13.1414461135864
"Gold Trail",74,2017,9,10.2934312820435
"Mission",75,2017,9,8.91173458099365
"Fraser-Cascade",78,2017,9,12.1245031356812
"Cowichan",79,2017,9,5.59066200256348
"Kootenay Lake",8,2017,9,19.4261474609375
"Fort Nelson",81,2017,9,5.82456874847412
"Coast Mountains",82,2017,9,3.97171902656555
"Okanagan-Shuswap",83,2017,9,15.3845224380493
"Vancouver Island West",84,2017,9,4.24559020996094
"Vancouver Island North",85,2017,9,4.38517570495605
"Stikine",87,2017,9,3.39694023132324
"Nechako Lakes",91,2017,9,4.37188291549683
"Nisgaa",92,2017,9,3.37588834762573
"Central Coast",49,2017,9,4.58985948562622
"Okanagan-Skaha",67,2017,9,22.7882976531982
"Okanagan-Similkameen",53,2017,9,53.041820526123
"Arrow Lakes",10,2017,10,7.62395191192627
"Revelstoke",19,2017,10,5.08563899993896
"Kootenay-Columbia",20,2017,10,7.85673141479492
"Vernon",22,2017,10,9.16002368927002
"Central Okanagan",23,2017,10,7.93075466156006
"Cariboo-Chilcotin",27,2017,10,3.66012287139893
"Quesnel",28,2017,10,4.12553262710571
"Chilliwack",33,2017,10,4.35892391204834
"Abbotsford",34,2017,10,7.27629613876343
"Langley",35,2017,10,7.87271785736084
"Surrey",36,2017,10,8.02841949462891
"Delta",37,2017,10,8.22052574157715
"Richmond",38,2017,10,7.93698835372925
"Vancouver",39,2017,10,7.12338924407959
